Title,Company,Location,Link,Job Description,Job Requirements,Experience,Salary,Job Type
Software Developer,,Not available,https://wuzzuf.net/jobs/p/5bOhRqRCr9gE-Software-Developer-Aureka-Cairo-Egypt,Qualifications,"Proficiency in programming languages such as C#, .NET Core, ASP.NET, Java and Python
Experience with software development tools and technologies, including HTML, JavaScript (JS), and CSS
Knowledge of web development frameworks, particularly Ionic with Angular
Strong problem-solving and analytical skills
Ability to work in a team and independently
Excellent communication and collaboration skills
Experience with IoT or smart home technologies is a plus
Bachelor's degree in Computer Science, Engineering, or related field","QualificationsProficiency in programming languages such as C#, .NET Core, ASP.NET, Java and PythonExperience with software development tools and technologies, including HTML, JavaScript (JS), and CSSKnowledge of web development frameworks, particularly Ionic with AngularStrong problem-solving and analytical skillsAbility to work in a team and independentlyExcellent communication and collaboration skillsExperience with IoT or smart home technologies is a plusBachelor's degree in Computer Science, Engineering, or related field",Salary:,python
Senior ERP Developer,,Not available,https://wuzzuf.net/jobs/p/eAOYdSfLEH0U-Senior-ERP-Developer-Milkys---The-Milkman-Giza-Egypt,"Qualifications:
Preferred Qualifications:
We offer a dynamic work environment with the opportunity to contribute to exciting ERP projects. If you are passionate about technology and eager to make an impact, we encourage you to apply.
","Bachelor's degree in Computer Science, Information Technology, or a related field.
5-6 years of professional experience in ERP development and implementation.
Strong proficiency in Python and R programming languages.
Hands-on experience with ERP Next or Odoo is mandatory.
Familiarity with front-end technologies (HTML, CSS, JavaScript) and frameworks is a plus.
Solid understanding of database management systems (SQL, PostgreSQL, etc.).
Excellent problem-solving skills and a detail-oriented mindset.
Strong communication and interpersonal skills to effectively interact with stakeholders.
ERP system certification (ERP Next, Odoo).
Experience with integration of third-party applications and APIs.
Knowledge of best practices in project management methodologies (Agile, Scrum).","Qualifications:Bachelor's degree in Computer Science, Information Technology, or a related field.5-6 years of professional experience in ERP development and implementation.Strong proficiency in Python and R programming languages.Hands-on experience with ERP Next or Odoo is mandatory.Familiarity with front-end technologies (HTML, CSS, JavaScript) and frameworks is a plus.Solid understanding of database management systems (SQL, PostgreSQL, etc.).Excellent problem-solving skills and a detail-oriented mindset.Strong communication and interpersonal skills to effectively interact with stakeholders.Preferred Qualifications:ERP system certification (ERP Next, Odoo).Experience with integration of third-party applications and APIs.Knowledge of best practices in project management methodologies (Agile, Scrum).We offer a dynamic work environment with the opportunity to contribute to exciting ERP projects. If you are passionate about technology and eager to make an impact, we encourage you to apply.",Salary:,python
Full Stack Engineer,TopLine,Not available,https://wuzzuf.net/jobs/p/5Ykv82mkiFqx-Full-Stack-Engineer-Cairo-Egypt,Required Skills:,"Proficiency in front-end languages (HTML, CSS, JavaScript) and frameworks(e.g., React, Angular).
Strong back-end programming skills in languages like JavaScript (Node.js), Python, Ruby, or Java.
Experience with database management systems (SQL, NoSQL).
Understanding of version control (e.g., Git) and CI/CD pipelines","Required Skills:Proficiency in front-end languages (HTML, CSS, JavaScript) and frameworks(e.g., React, Angular).Strong back-end programming skills in languages like JavaScript (Node.js), Python, Ruby, or Java.Experience with database management systems (SQL, NoSQL).Understanding of version control (e.g., Git) and CI/CD pipelines",Salary:,python
Senior Cloud Solution Architect,,Not available,https://wuzzuf.net/jobs/p/4uAgQcQKfaTC-Senior-Cloud-Solution-Architect-EXALT-Technologies-Cairo-Egypt,"Required qualifications:

Key Responsibilities:

Preferred certificates:

Why Join EXALT?
✅ Unparalleled Career Growth – Work with global clients on state-of-the-art cloud technologies. ✅ A Culture of Excellence – Be part of a highly skilled, agile, and collaborative team. ✅ Work-Life Balance – Flexible work hours and a hybrid work mode. ✅ Continuous Learning – Access to LinkedIn Learning, Udemy courses, and professional development programs.","5+ years of relevant experience in cloud deployment, Infrastructure, DevOps, or related fields.
Experience with Linux systems administration.
Expertise in OpenStack deployment and operations.
Knowledge of networking concepts.
Proficiency in scripting (e.g., Bash, Ansible, Python).
Familiarity with PXE booting and provisioning bare-metal systems.
Hands-on experience deploying and managing Kubernetes and/or OpenStack environments.
Strong experience with Terraform (writing modules, state management).
Problem-solving mindset and ability to work in agile teams.
Design and implement cloud infrastructure using VMWare and OpenStack.
Deploy and configure Kubernetes and OpenStack clusters, ensuring high availability, scalability, and reliability.
Develop and maintain automation scripts and tools for platform deployment, including bare-metal provisioning and software installation
Collaborate with customers to understand their infrastructure requirements and ensure successful onboarding to Kubernetes and OpenStack platforms.

Ensure compliance with security best practices and policies.
Maintain documentation for infrastructure architecture and processes.
Kubernetes Certified Administrator (CKA).
Certified OpenStack Administrator (COA).
RHCSA/RHCE","Required qualifications: 5+ years of relevant experience in cloud deployment, Infrastructure, DevOps, or related fields.Experience with Linux systems administration.Expertise in OpenStack deployment and operations.Knowledge of networking concepts.Proficiency in scripting (e.g., Bash, Ansible, Python).Familiarity with PXE booting and provisioning bare-metal systems.Hands-on experience deploying and managing Kubernetes and/or OpenStack environments.Strong experience with Terraform (writing modules, state management).Problem-solving mindset and ability to work in agile teams.  Key Responsibilities: Design and implement cloud infrastructure using VMWare and OpenStack.Deploy and configure Kubernetes and OpenStack clusters, ensuring high availability, scalability, and reliability.Develop and maintain automation scripts and tools for platform deployment, including bare-metal provisioning and software installationCollaborate with customers to understand their infrastructure requirements and ensure successful onboarding to Kubernetes and OpenStack platforms. Ensure compliance with security best practices and policies.Maintain documentation for infrastructure architecture and processes. Preferred certificates: Kubernetes Certified Administrator (CKA).Certified OpenStack Administrator (COA).RHCSA/RHCE Why Join EXALT? ✅ Unparalleled Career Growth – Work with global clients on state-of-the-art cloud technologies. ✅ A Culture of Excellence – Be part of a highly skilled, agile, and collaborative team. ✅ Work-Life Balance – Flexible work hours and a hybrid work mode. ✅ Continuous Learning – Access to LinkedIn Learning, Udemy courses, and professional development programs.",Salary:,python
Business Analyst,,Not available,https://wuzzuf.net/jobs/p/yoRGH7V1205b-Business-Analyst-Elabd-Foods-Giza-Egypt,Technical/Professional Qualifications:,"Bachelor’s degree in Business Administration, Economics, Data Science, or a related field.
3-5 years of experience in a similar role, preferably in the FMCG.
Proven experience in data analysis.
Strong analytical skills, with the ability to translate market insights into actionable business plans.
Strong knowledge of data visualization tools (e.g., Tableau, Power BI, matplotlib, Plotly).
Experience with Agile methodologies is a plus.
Familiarity with data wrangling, data cleansing, and ETL processes.
Familiarity with cloud platforms (e.g., AWS, Google Cloud, Azure) for data storage and processing.
Experience with machine Learning and predictive modeling in Python is a plus.
Solid experience with Python for data analysis, scripting, and automating tasks (familiarity with libraries such as Pandas, NumPy, Matplotlib, and scikit-learn).","Technical/Professional Qualifications:Bachelor’s degree in Business Administration, Economics, Data Science, or a related field.3-5 years of experience in a similar role, preferably in the FMCG.Proven experience in data analysis.Strong analytical skills, with the ability to translate market insights into actionable business plans.Strong knowledge of data visualization tools (e.g., Tableau, Power BI, matplotlib, Plotly).Experience with Agile methodologies is a plus.Familiarity with data wrangling, data cleansing, and ETL processes.Familiarity with cloud platforms (e.g., AWS, Google Cloud, Azure) for data storage and processing.Experience with machine Learning and predictive modeling in Python is a plus.Solid experience with Python for data analysis, scripting, and automating tasks (familiarity with libraries such as Pandas, NumPy, Matplotlib, and scikit-learn).",Salary:,python
Senior Linux System Admin (+3 years experience),,Not available,https://wuzzuf.net/jobs/p/3bPtAsc7B4zP-Senior-Linux-System-Admin-3-years-experience-3D-Diagnostix-Cairo-Egypt,"Certificates• RHCE - Red Hat Certified System Engineer (Must have)• AWS DevOps/SysOps/Solution Architect (Must have)• CCNA - Cisco Certified Network Associate (Plus)
Experience3-8 years of experience in the above domain and technologies
SKILLS• Advanced Linux (Ubuntu) system administration• Terraform scripting• Ansible scripting• Advanced Bash shell scripting• Proven Amazon AWS administration (EC2, IAM, RDS, S3)• MySQL administration• VMWare administration and high availability• Network Administration• Respond promptly to help desk requests after hours (be on call)","Certificates• RHCE - Red Hat Certified System Engineer (Must have)• AWS DevOps/SysOps/Solution Architect (Must have)• CCNA - Cisco Certified Network Associate (Plus)Experience3-8 years of experience in the above domain and technologiesSKILLS• Advanced Linux (Ubuntu) system administration• Terraform scripting• Ansible scripting• Advanced Bash shell scripting• Proven Amazon AWS administration (EC2, IAM, RDS, S3)• MySQL administration• VMWare administration and high availability• Network Administration• Respond promptly to help desk requests after hours (be on call)","Certificates• RHCE - Red Hat Certified System Engineer (Must have)• AWS DevOps/SysOps/Solution Architect (Must have)• CCNA - Cisco Certified Network Associate (Plus)Experience3-8 years of experience in the above domain and technologiesSKILLS• Advanced Linux (Ubuntu) system administration• Terraform scripting• Ansible scripting• Advanced Bash shell scripting• Proven Amazon AWS administration (EC2, IAM, RDS, S3)• MySQL administration• VMWare administration and high availability• Network Administration• Respond promptly to help desk requests after hours (be on call)",Salary:,python
"Software Developer ""Outsourced""",,Not available,https://wuzzuf.net/jobs/p/ck0EPBdEI3dm-Software-Developer-Outsourced-Efada-Technology-Giza-Egypt,,Java CorePythonJava Spring BootRESTful APIsSql DatabaseData Structure Design PatternsAlgorithms Problem SolvingOracle DatabasePerformance tuningRESTful APIsKafka / RabbitMQ,Experience Needed:,Salary:,python
Full Stack Developer,,Not available,https://wuzzuf.net/jobs/p/DE6JGQgQcIlz-Full-Stack-Developer-Genie-Monufya-Egypt,"✅ Strong Python skills✅ Expertise in Django authentication & authorization✅ Complex query optimization & performance tuning✅ Scalable system design & best practices✅ Test-Driven Development (TDD)
✅ Tailwind CSS, Vite, and TypeScript✅ React hooks & advanced form validation✅ Redux & complex form state management
✅ Clean, maintainable code practices✅ Autonomous problem-solving skills✅ Strong Git version control experience✅ Understanding of CRM workflows & data models✅ Familiarity with sales funnels & pipeline concepts
➕ Experience in Odoo development➕ DevOps knowledge (CI/CD, Docker, etc.)","What You’ll Need to Succeed: Backend (Python & Django):✅ Strong Python skills✅ Expertise in Django authentication & authorization✅ Complex query optimization & performance tuning✅ Scalable system design & best practices✅ Test-Driven Development (TDD) Frontend (React & TypeScript):✅ Tailwind CSS, Vite, and TypeScript✅ React hooks & advanced form validation✅ Redux & complex form state management General Skills:✅ Clean, maintainable code practices✅ Autonomous problem-solving skills✅ Strong Git version control experience✅ Understanding of CRM workflows & data models✅ Familiarity with sales funnels & pipeline concepts Bonus Points (Huge Plus!):➕ Experience in Odoo development➕ DevOps knowledge (CI/CD, Docker, etc.)","What You’ll Need to Succeed: Backend (Python & Django):✅ Strong Python skills✅ Expertise in Django authentication & authorization✅ Complex query optimization & performance tuning✅ Scalable system design & best practices✅ Test-Driven Development (TDD) Frontend (React & TypeScript):✅ Tailwind CSS, Vite, and TypeScript✅ React hooks & advanced form validation✅ Redux & complex form state management General Skills:✅ Clean, maintainable code practices✅ Autonomous problem-solving skills✅ Strong Git version control experience✅ Understanding of CRM workflows & data models✅ Familiarity with sales funnels & pipeline concepts Bonus Points (Huge Plus!):➕ Experience in Odoo development➕ DevOps knowledge (CI/CD, Docker, etc.)",Salary:,python
Data Engineer,,Not available,https://wuzzuf.net/jobs/p/kB8vGnlOb9fi-Data-Engineer-COB-Solution-Cairo-Egypt,"1. Bachelor of computer science2. Building data warehouses, particularly using Snowflake.3. Designing and implementing ETL/ELT workflows, integrating flat files, and managingSFTP processes.4. SQL databases, including query optimization, indexing, and data migration.5. Python programming (mandatory) with experience in data preprocessing using Pandasand NumPy.6. Apache Airflow DAG development for building, scheduling, and monitoring workflows.","1. Bachelor of computer science2. Building data warehouses, particularly using Snowflake.3. Designing and implementing ETL/ELT workflows, integrating flat files, and managingSFTP processes.4. SQL databases, including query optimization, indexing, and data migration.5. Python programming (mandatory) with experience in data preprocessing using Pandasand NumPy.6. Apache Airflow DAG development for building, scheduling, and monitoring workflows.","1. Bachelor of computer science2. Building data warehouses, particularly using Snowflake.3. Designing and implementing ETL/ELT workflows, integrating flat files, and managingSFTP processes.4. SQL databases, including query optimization, indexing, and data migration.5. Python programming (mandatory) with experience in data preprocessing using Pandasand NumPy.6. Apache Airflow DAG development for building, scheduling, and monitoring workflows.",Salary:,python
Full-Stack Developer (Front-End & Back-End),,Not available,https://wuzzuf.net/jobs/p/sK2oTPBvLlg6-Full-Stack-Developer-Front-End-Back-End-MIBA-LLC-Cairo-Egypt,"Requirements:
Preferred Qualifications:","Proven experience as a Full-Stack Developer with strong proficiency in front-end technologies (e.g., HTML, CSS, JavaScript, React, Angular, or Vue.js) and back-end technologies (e.g., C++, Python, CMake, Rust, Node.js, or similar).
Experience with relational and/or non-relational databases (e.g., MySQL, PostgreSQL, MongoDB).
Familiarity with version control systems like Git.
Strong problem-solving skills and attention to detail.
Ability to work collaboratively in a remote team environment and communicate effectively.
Bachelor’s degree in Computer Science, Software Engineering, or a related field.
Experience with cloud services (e.g., AWS, Azure, or Google Cloud).
Knowledge of DevOps practices, CI/CD pipelines, and containerization (e.g., Docker, Kubernetes).","Requirements:Proven experience as a Full-Stack Developer with strong proficiency in front-end technologies (e.g., HTML, CSS, JavaScript, React, Angular, or Vue.js) and back-end technologies (e.g., C++, Python, CMake, Rust, Node.js, or similar).Experience with relational and/or non-relational databases (e.g., MySQL, PostgreSQL, MongoDB).Familiarity with version control systems like Git.Strong problem-solving skills and attention to detail.Ability to work collaboratively in a remote team environment and communicate effectively.Preferred Qualifications:Bachelor’s degree in Computer Science, Software Engineering, or a related field.Experience with cloud services (e.g., AWS, Azure, or Google Cloud).Knowledge of DevOps practices, CI/CD pipelines, and containerization (e.g., Docker, Kubernetes).",Salary:,python
System Administrator,,Not available,https://wuzzuf.net/jobs/p/2fOMhGCAHLvY-System-Administrator-Technical-Co-For-Engineering-and-Feeding-Industries-Cairo-Egypt,"Qualifications- 3-7 years of experience as an IT System Administrator.- Strong knowledge of VMware vCenter and ESXi.- Hands-on experience with Microsoft SQL Server.- Experience supporting Microsoft Dynamics AX 2012.- Expertise in FortiGate VPN configuration and security.- Microsoft 365 administration and troubleshooting.- Windows Server and Active Directory management.You can send CV tommhanafy at technopyramids dot come
WhatsAppZero one Zero Zero Six Six Three Five Six Five Zero",Qualifications- 3-7 years of experience as an IT System Administrator.- Strong knowledge of VMware vCenter and ESXi.- Hands-on experience with Microsoft SQL Server.- Experience supporting Microsoft Dynamics AX 2012.- Expertise in FortiGate VPN configuration and security.- Microsoft 365 administration and troubleshooting.- Windows Server and Active Directory management.You can send CV tommhanafy at technopyramids dot comeWhatsAppZero one Zero Zero Six Six Three Five Six Five Zero,Qualifications- 3-7 years of experience as an IT System Administrator.- Strong knowledge of VMware vCenter and ESXi.- Hands-on experience with Microsoft SQL Server.- Experience supporting Microsoft Dynamics AX 2012.- Expertise in FortiGate VPN configuration and security.- Microsoft 365 administration and troubleshooting.- Windows Server and Active Directory management.You can send CV tommhanafy at technopyramids dot comeWhatsAppZero one Zero Zero Six Six Three Five Six Five Zero,Salary:,python
